id,Time,Time_of_day,Visitors,Day,MonthName,year,Month,Date,day
401,13:15,PM,142,7,May,2014,5,5/7/2014,Wednesday
402,13:30,PM,44,7,May,2014,5,5/7/2014,Wednesday
403,16:30,PM,207,7,May,2014,5,5/7/2014,Wednesday
404,17:15,PM,33,7,May,2014,5,5/7/2014,Wednesday
405,17:30,PM,47,7,May,2014,5,5/7/2014,Wednesday
406,18:00,PM,177,7,May,2014,5,5/7/2014,Wednesday
407,11:00,AM,45,8,May,2014,5,5/8/2014,Thursday
408,11:15,AM,83,8,May,2014,5,5/8/2014,Thursday
409,11:30,AM,512,8,May,2014,5,5/8/2014,Thursday
410,11:45,AM,34,8,May,2014,5,5/8/2014,Thursday
411,12:00,PM,1212,8,May,2014,5,5/8/2014,Thursday
412,12:15,PM,70,8,May,2014,5,5/8/2014,Thursday
413,12:30,PM,875,8,May,2014,5,5/8/2014,Thursday
414,13:00,PM,498,8,May,2014,5,5/8/2014,Thursday
415,13:30,PM,30,8,May,2014,5,5/8/2014,Thursday
416,16:30,PM,100,8,May,2014,5,5/8/2014,Thursday
417,17:00,PM,310,8,May,2014,5,5/8/2014,Thursday
418,17:30,PM,100,8,May,2014,5,5/8/2014,Thursday
419,18:00,PM,165,8,May,2014,5,5/8/2014,Thursday
420,8:00,AM,122,9,May,2014,5,5/9/2014,Friday
421,11:00,AM,217,9,May,2014,5,5/9/2014,Friday
422,11:30,AM,179,9,May,2014,5,5/9/2014,Friday
423,12:00,PM,214,9,May,2014,5,5/9/2014,Friday
424,12:30,PM,246,9,May,2014,5,5/9/2014,Friday
425,13:00,PM,604,9,May,2014,5,5/9/2014,Friday
426,17:00,PM,210,9,May,2014,5,5/9/2014,Friday
427,17:30,PM,55,9,May,2014,5,5/9/2014,Friday
428,11:30,AM,399,10,May,2014,5,5/10/2014,Saturday
429,11:45,AM,53,10,May,2014,5,5/10/2014,Saturday
